,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,cash
2003-02-24,97801.75,99656.49,98283.6,97115.2,98542.0,98571.06,98751.24,97698.9,96693.06,47083.6471166
2003-02-25,99135.24,95198.7,99162.6,100058.75,100133.1,98782.18,97470.0,99533.7,100996.09,46154.4115681
2003-02-26,98491.65,98985.6,98248.92,97926.0,96580.8,98313.77,97524.97,97588.4,97993.6,46785.8520957
2003-02-27,97995.12,97389.63,99638.2,99074.27,98823.75,98325.0,97987.32,99123.6,99547.42,46466.0568799
2003-02-28,98851.45,99321.12,98766.6,98853.72,99466.05,98241.54,99009.5,99392.54,99342.75,47060.6526355
2003-03-03,98675.44,100372.87,97770.72,98823.4,97107.35,98470.84,98872.96,97914.96,98472.74,47386.9322191
2003-03-04,96621.44,97621.56,97367.4,97012.5,97669.42,97050.96,97440.42,97282.66,96145.64,46479.8643034
2003-03-05,97699.05,98268.16,97807.0,98147.7,97726.5,97477.0,97876.19,98508.1,97502.5,46162.4137962
2003-03-06,95990.4,97586.8,96546.6,97195.56,97322.19,97483.65,97983.53,97412.25,97557.18,46108.4537189
2003-03-07,98606.7,96599.6,97372.8,97859.51,98051.4,97322.52,96732.23,98930.0,98632.8,45746.1337821
2003-03-10,95393.2,96034.41,95184.72,96117.3,95723.22,95942.88,95324.44,95773.32,94913.28,45881.6568063
2003-03-11,94833.92,94691.25,94080.0,93724.04,95234.48,96336.0,95025.0,95495.33,94669.74,45472.9510902
2003-03-12,95151.0,94916.12,95597.25,95818.98,95814.06,95099.58,94258.81,95381.0,94488.9,44923.5999764
2003-03-13,98803.66,96250.63,99151.11,97856.25,100085.44,97316.46,96639.28,97328.38,99375.15,45633.8127009
2003-03-14,98717.76,97664.0,98825.16,99498.15,97954.11,97991.94,97985.61,97320.8,97813.8,46391.9025504
2003-03-17,101947.39,98719.68,101681.04,102220.62,101982.58,101921.12,99441.61,100833.01,102631.51,46677.0205906
2003-03-18,102223.2,103815.0,101409.3,102017.45,102292.4,101001.6,101471.08,101363.99,100955.12,47722.6060988
2003-03-19,101753.41,101858.13,102906.82,102645.8,102598.04,102865.44,101402.1,102987.58,103030.2,48326.9814539
